Museum_Location,Registration Nr.,Length_Left_Maxillae,Length_Right_Maxillae,Rostrum_Length, Condylobasal_Length ,Width_Occipital_Condyles,Year,Date,Location,Country,Sex,Size (cm),Weight (kg),Life stage,Notes,,,
Rotterdam,9990-0405,20.795,20.430,10.128,24.705,6.671,1998,1998-03-19,Katwijk aan Zee,Netherlands,F,124,30.5,juvenile,called subadult,,,
Rotterdam,9990-0409,21.450,22.076,10.493,26.258,7.353,1998,1998-08-25,Monster,Netherlands,F,151,35.0,adult,,,,
Rotterdam,9990-0406,19.855,20.219,9.123,23.510,6.602,1999,1999-02-03,Terheijde,Netherlands,M,131,22.0,adult,,,,
Rotterdam,9990-3026,20.966,21.637,10.031,25.553,6.868,2002,2002-10-05,Zeehondencreche,Netherlands,M,136,33.94,NA,,,,
Rotterdam,9990-0341,21.045,21.375,10.537,25.830,6.688,1998,1998-10-29,Castricum Strandpaal,Netherlands,F,154,45.4,adult,,,,
Rotterdam,9990-0343,21.911,22.010,10.882,27.116,6.898,1999,1999-07-28,"Camperduin, Noord-Holland",Netherlands,M,147,40.0,adult,,,,
Rotterdam,9990-0342,20.305,20.429,9.527,23.982,6.686,1997,1997-12-14,"Noord-Holland, Texel, De Hors",Netherlands,M,142,40.0,adult,,,,
Rotterdam,9990-1339,19.168,19.556,9.648,22.849,6.082,1999,1999-03-4,"Noord-Holland, Texel",Netherlands,F,116,28.5,NA,,,,
Rotterdam,9990-1338,22.541,22.347,10.250,25.918,7.077,2001,2001-09-08,"Noord-Holland, Egmond aan Zee",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1361,21.653,21.669,9.939,25.642,7.197,1996,1996-11-00,"Zuid-Holland, Goeree, Goedereede",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1401,16.145,15.945,7.711,20.155,6.249,1996,1996-06-24,Schoorl,Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1400,22.133,21.596,10.616,26.218,6.904,1999,1999-01-22,10km north of West Kapelle,Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-0337,21.281,21.043,10.076,25.796,7.028,1999,1999-10-01,"Maasvlakte, Slufterstrands",Netherlands,M,149,39.0,adult,,,,
Rotterdam,9990-0339,19.662,19.054,9.571,24.751,6.593,1999,1999-01-16,Egmond aan Zee,Netherlands,M,NA,22.5,NA,,,,
Rotterdam,9990-0340,21.546,21.539,10.405,25.419,6.574,1998,1998-03-15,"Zeeland, Schouwen-Duiveland, Renesse",Netherlands,F,141,31.0,adult,,,,
Rotterdam,9990-0407,21.230,21.669,9.941,25.840,6.948,1998,1998-07-21,Brouwersdam,Netherlands,F,152,41.0,adult,,,,
Rotterdam,9990-0408,23.440,23.559,11.683,27.579,7.429,1998,1998-03-17,Egmond aan de Zee,Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-3035,21.891,22.380,10.218,26.054,7.147,2000,2000-00-00,Dutch Coast,Netherlands,M,NA,NA,NA,,,,
Rotterdam,9990-0348,NA,NA,NA,NA,6.370,1992,1992-04-09,Norre Vorupor,Denmark,NA,NA,NA,juvenile,"rostrum broken, so no measurements for most of these characters",,,
Rotterdam,9990-0345,18.404,18.590,8.193,21.760,6.326,1991,1991-07-16,"Jutland, Thy, Lyngby, S of Stenberg",Denmark,NA,NA,NA,NA,,,,
Rotterdam,9991-1351,21.221,20.720,9.977,25.517,7.149,2001,2001-06-28,"Friesland, Vlieland",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1349,22.118,22.529,10.767,26.376,7.304,1999,1999-12-26,"Zeeland, Tholen, St Maartendijk",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1341,15.670,15.910,7.879,20.743,5.872,2001,2001-04-05,"Friesland, Terschelling",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1340,20.654,21.391,9.829,24.919,7.183,NA,NA,"Groningen, Schiermonnikoog",Netherlands,M,NA,30.0,NA,,,,
Rotterdam,9990-1342,20.927,21.170,10.010,25.415,7.403,2001,2001-08-29,"Friesland, Moddergat",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-0168,22.837,22.807,11.967,29.265,7.830,1995,1995-02-00,"Noukchott, Mauritania, West Africa",Mauritania,NA,NA,NA,NA,,,,
Rotterdam,9990-3681,24.034,23.878,11.860,28.758,7.627,2017,2017-10-00,"Sogn og Fjordane, Gulen, Eidsfjorden",Norway,F,NA,NA,NA,NMR999000003681,,,
Rotterdam,9990-2869,18.637,18.795,8.508,21.635,6.478,2002,2002-02-06,"Zuid-Holland, 's-Gravenzande",Netherlands,M,NA,NA,NA,,,,
Rotterdam,9990-0160,21.117,21.120,9.882,24.294,6.405,1991,1991-07-17,"Jutland, Thy, Lyngby, S of Stenbjerg",Denmark,NA,NA,NA,NA,,,,
Rotterdam,9990-0220,21.794,21.962,10.399,26.173,7.475,1994,1994-09-17,"Wine Strand, Sybil point, Dingle",Ireland,F,145,NA,NA,,,,
Rotterdam,9990-0159,21.274,21.622,10.589,25.393,6.629,1991,1991-07-17,"Jutland, Thy, Vangsa, S of Klitmoller",Denmark,F,166,NA,adult,,,,
Rotterdam,9990-1429,20.736,20.571,9.287,24.728,7.365,2003,2003-12-26,"Dutch coast, beachmarker 31",Netherlands,F,157,NA,NA,,,,
Rotterdam,9990-0164,21.937,22.222,10.914,26.182,7.625,1991,1991-03-00,Dutch coast,Netherlands,F,NA,NA,adult,,,,
Rotterdam,9990-0349,22.741,22.693,10.837,26.099,7.291,1994,1994-06-28,"Great Britain, Isle of Lewis, Outer Hebrids, Cross Sands, Batts",Scotland,M,NA,NA,adult,,,,
Rotterdam,9990-0346,19.992,19.191,8.479,22.817,5.983,1992,1992-04-09,"Jutland, Thy, Vangsa, S of Klitmoller",Denmark,NA,NA,NA,juvenile,,,,
Rotterdam,9990-0344,19.185,19.146,9.409,23.480,6.632,1995,1995-08-15,"Jutland, Gronhoj",Denmark,M,121,NA,adult,,,,
Rotterdam,9990-0163,19.754,19.772,9.767,23.694,6.295,1993,1993-04-01,"Jerup strand, Albaek bugt",Denmark,M,NA,NA,juvenile,,,,
Rotterdam,9990-3115,18.198,18.682,8.548,22.563,6.586,2013,2013-01-06,"Zuid-Holland, Goeree, Kwade Hoek",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1346,16.893,16.917,8.103,20.831,5.705,1999,1999-04-19,"Zuid-Holland, Kijkduin",Netherlands,NA,103,14.0,NA,,,,
Rotterdam,9990-1486,20.993,21.221,9.671,24.953,7.070,1993,1993-06-00,North Sea,NA,NA,NA,NA,NA,,,,
